,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.000122680401546,1.49651593228e-18,3.48798440035e-17,3.47129381362e-20,5.68389623368e-07,2.57205338785e-18,1.90377295634e-14,0.999561607838,1.85196936725e-22,0.000258050888078,4.47809744841e-09,9.97928627754e-13,1.96454050944e-12,7.74449091523e-08,1.16566059276e-19,5.70882111788e-05
1,0.000613584707025,6.82080870192e-14,3.42452954015e-13,1.05034228303e-38,1.40649200186e-12,0.999384403229,1.82081378715e-15,3.54194507057e-10,1.97823942472e-06,8.64195125167e-18,7.78224967107e-12,3.11808582697e-14,2.16777838762e-15,1.67828483938e-20,3.14825849581e-14,5.9815064013e-10
2,1.39035637403e-05,1.35194877889e-14,1.14839694564e-19,3.4079491229e-08,1.57888321564e-21,1.00893465539e-14,1.00547716854e-13,1.68987753568e-05,8.73907265486e-06,0.999960422516,8.30755395032e-11,1.19919121494e-14,7.10179898609e-16,6.72461733226e-16,4.44308673186e-10,2.51607355202e-26
3,0.999998688698,1.27213872574e-13,1.1817268275e-09,5.27314259965e-12,3.75120823293e-10,1.27456387458e-11,2.48312533729e-11,1.86266557733e-10,1.66491744835e-08,5.3043669368e-07,6.70579595408e-07,1.47011625096e-09,3.94055447994e-11,4.06472370783e-16,2.14628093076e-09,3.34222534093e-08
4,0.498007893562,7.25607671258e-25,3.93003465433e-05,4.14796929443e-12,1.30190528497e-11,3.06344133731e-24,6.47238097909e-16,1.68943600443e-07,1.0690131214e-24,4.43489939217e-10,3.39440703101e-06,2.41150480661e-12,3.0107565204e-13,1.15951950777e-21,3.49225721041e-14,0.501949250698
5,4.4151499202e-15,0.00148099067155,2.08672123092e-13,1.15941387011e-14,0.00087413872825,4.54393649483e-29,6.79672680984e-13,7.96705812434e-10,2.42283776732e-24,0.00423475168645,8.5798035343e-12,1.03114814864e-12,1.3995848107e-14,0.993410170078,4.07052586082e-10,5.53946014829e-17
6,0.99988079071,4.59117706806e-19,8.61224179971e-06,1.60292607853e-31,8.24575099646e-23,6.88213930289e-11,7.3104059427e-15,3.50288041773e-06,6.06096638116e-19,5.25648491748e-12,0.000106867184513,4.64226977714e-14,1.97815799216e-15,5.09776155893e-24,6.66574438998e-18,1.45039223298e-07
7,0.999875068665,5.36359812223e-15,2.4213266947e-09,5.53367969677e-33,4.5805995606e-20,0.000114948663395,3.12894431502e-13,2.00949202167e-07,4.62471603575e-15,1.6169943251e-07,9.62803096627e-06,2.0480674448e-12,5.4478784087e-14,2.18681378561e-10,1.71074852604e-15,8.79514221327e-14
8,0.997904419899,6.45316493246e-23,1.9899232262e-10,1.97155112639e-25,7.42031410178e-26,1.86414963327e-11,1.44178126045e-15,4.70885097457e-05,3.9543035846e-25,0.000744185643271,0.00127614242956,2.7146467447e-14,4.08109050196e-16,1.3075613589e-19,9.30558995947e-20,2.81604461634e-05
9,0.000147902755998,4.94781290591e-24,5.44778444578e-10,7.42434807362e-16,5.88922728286e-24,1.12661232026e-20,2.93020989586e-15,2.08964046067e-09,2.18401704816e-17,0.999852061272,1.79343240259e-09,1.1757206943e-15,1.13123491765e-17,1.26987721553e-13,4.72069725653e-16,4.41099093985e-26
